Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Home Services Illawarra / Southern Highlands,Clinton Villas 179 Clinton Street,,GOULBURN,NSW,2580,Southern Highlands,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-34.75479102,149.7100477,"$6,409,196.25 "
Home Services South East Sydney,18 Powdrill Road,668 Princes Highway,PRESTONS,NSW,2170,South West Sydney,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.93228059,150.889397,"$4,807,440.92 "
Home Services Illawarra / Southern Highlands,179 Clinton Street,Clinton Street,GOULBURN,NSW,2580,Southern Highlands,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-34.75479102,149.7100477,"$2,344,917.19 "
Bega & District Nursing Home EACHD,24 Hill Street,,BEGA,NSW,2550,Southern Highlands,Home Care,,,,Sapphire Coast Community Aged Care Ltd,Community Based,Outer Regional Australia,-36.675623,149.837984,$0.00 
Benedictine Abbey Community Care Packages,695 Jamberoo Mountain Road,,JAMBEROO,NSW,2533,Illawarra,Home Care,,,,The Trustees of the Benedictine Abbey Jamberoo,Religious,Inner Regional Australia,-34.67057013,150.7352223,"$107,722.36 "
Finley Regional Care,26 Dawe Avenue,,FINLEY,NSW,2713,Riverina/Murray,Home Care,,,,Finley Regional Care Ltd,Community Based,Inner Regional Australia,-35.641131,145.566853,"$881,282.23 "
RSL LifeCare at Home,52 Short Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care,,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-36.8920774,149.9084763,"$203,122.84 "
Biripi Home Care Packages,151 Manning River Drive,,TAREE,NSW,2430,Mid North Coast,Home Care,,,,Biripi Aboriginal Corporation Medical Service,Community Based,Inner Regional Australia,-31.938985,152.467244,"$1,976,312.43 "
Uniting Home Care Tweed Heads,24 A Kingscliff Street,,KINGSCLIFF,NSW,2487,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.25069454,153.5701663,"$83,062.09 "
Uniting Home Care Tweed Heads,24 A Kingscliff Street,34 Oyster Point Road,KINGSCLIFF,NSW,2487,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.25069454,153.5701663,"$4,909,892.65 "
Blue Hills Community Care,25 Tulich Avenue,,PRESTONS,NSW,2170,South West Sydney,Home Care,,,,Blue Hills Village Management (Liverpool) Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.94897121,150.8592218,$0.00 
ARV Blue Mountains CACP,17 Bourke Street,,BLAXLAND,NSW,2774,Nepean,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.74009958,150.6045383,"$257,758.69 "
Blue Mountains CACPs,Level 1,50 O'Connell Street,PARRAMATTA,NSW,2150,Western Sydney,Home Care,,,,Southern Cross Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.80601245,151.0029048,"$212,084.62 "
Booroongen Djugun Community Care Service,337-351 River Street,,KEMPSEY,NSW,2440,Mid North Coast,Home Care,,,,Booroongen Djugun Limited,Community Based,Inner Regional Australia,-31.060779,152.809722,"$1,764,024.42 "
Bundaleer Care Services Community Care Program,142a Cameron Street,,WAUCHOPE,NSW,2446,Mid North Coast,Home Care,,,,Bundaleer Care Services Ltd,Community Based,Inner Regional Australia,-31.46757647,152.7340573,"$1,150,674.41 "
Bundaleer Care Services EACH Program,142a Cameron Street,,WAUCHOPE,NSW,2446,Mid North Coast,Home Care,,,,Bundaleer Care Services Ltd,Community Based,Inner Regional Australia,-31.46757647,152.7340573,"$1,207,311.99 "
Bungree Aboriginal Association Inc.,7-B Pioneer Avenue,,TUGGERAH,NSW,2259,Central Coast,Home Care,,,,Bungree Aboriginal Association Limited,Community Based,Major Cities of Australia,-33.318125,151.423082,"$853,277.76 "
Burwood/Strathfield/Concord CACP Program,83 Milton Street,,ASHFIELD,NSW,2131,Inner West,Home Care,,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.891726,151.116896,"$4,348,012.55 "
LiveBetter Services Limited- Central West NSW,4/235 Lords Place,,ORANGE,NSW,2800,Central West,Home Care,,,,Livebetter Services Limited,Community Based,Inner Regional Australia,-33.28291692,149.1008848,"$3,312,046.73 "
Calare CACP,55 Seymour Street,,BATHURST,NSW,2795,Central West,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.42211878,149.581733,"$135,123.68 "
Calvary Community Care Services - Hunter Region,242 Maitland Road,,SANDGATE,NSW,2304,Hunter,Home Care,,,,Calvary Community Care,Religious,Major Cities of Australia,-32.86608233,151.7073573,"$12,044,746.53 "
Calvary Community Care Services - Manning Taree,36 Commerce Street,,TAREE,NSW,2430,Mid North Coast,Home Care,,,,Calvary Community Care,Religious,Inner Regional Australia,-31.91290488,152.4548376,"$4,476,376.11 "
Calvary Community Care Services - Sydney,Level 4,72-80 Cooper Street,SURRY HILLS,NSW,2010,South East Sydney,Home Care,,,,Calvary Community Care,Religious,Major Cities of Australia,-33.8859675,151.210926,"$3,434,191.34 "
Canowindra Tweed Byron Aged & Disabled Aboriginal Corporation,"Unit 16, 21 Enterprise Avenue",,TWEED HEADS SOUTH,NSW,2486,Far North Coast,Home Care,,,,Canowindra Tweed-Byron Aged and Disabled Aboriginal Corporation,Community Based,Major Cities of Australia,-28.20416499,153.5344094,"$249,226.58 "
Multicultural Aged Care,"Suite 30, 532 Canterbury Road",,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Multicultural Care,Community Based,Major Cities of Australia,-33.9208343,151.0992221,"$3,292,326.33 "
Care Connect - CACP Nepean,"Suite 210-211, Level 2,",14 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-33.736678,150.94629,"$10,454,197.97 "
Care Connect - CACP South Coast,"Suite 39, Level 3, 75 Wharf Street",75 Wharf Street,TWEED HEADS,NSW,2485,Far North Coast,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-28.173125,153.54232,"$184,541.01 "
Care Connect - CACP Western Sydney,"Suite 210-211, Level 2,",14 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-33.736678,150.94629,"$180,272.76 "
Care Connect - EACH South Coast,"Suite 39, Level 3",75 Wharf Street,TWEED HEADS,NSW,2485,Far North Coast,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-28.17313228,153.5423099,"$450,035.73 "
Care Connect - EACH Western Sydney,"Suite 210-211, Level 2,",14 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-33.736678,150.94629,"$104,661.40 "
Care Connect - EACHD Western Sydney,"Suite 210-211, Level 2,",14 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-33.736678,150.94629,"$3,150,000.24 "
Carexcell Community Care,"Unit 7, 181 Edinburgh Street",,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,Carexcell Community Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-30.30531904,153.1346021,"$1,989,666.32 "
Carrington Community Care,90 WEROMBI Road,,GRASMERE,NSW,2570,South West Sydney,Home Care,,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,"$663,993.88 "
Carrington Community Care,90 WEROMBI Road,,GRASMERE,NSW,2570,South West Sydney,Home Care,,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,"$930,133.94 "
Carrington Community Care,90 WEROMBI Road,,GRASMERE,NSW,2570,South West Sydney,Home Care,,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,"$1,138,344.20 "
Carrington Retirement Village,90 WEROMBI Road,,GRASMERE,NSW,2570,South West Sydney,Home Care,,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,"$659,061.29 "
CASS EACH,44-50 Sixth Avenue,,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Chinese Australian Services Society Limited,Community Based,Major Cities of Australia,-33.90408886,151.1004279,"$9,573,616.66 "
Catholic Community Services Metro North - CACP,"Unit 3, 20-36 Nancarrow Avenue",1 Central Avenue,MEADOWBANK,NSW,2114,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.81826206,151.093165,"$425,333.16 "
Catholic Community Services Central West - CACP,40 Busby Street,,BATHURST,NSW,2795,Central West,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-33.431934,149.573816,"$325,316.13 "
Catholic Community Services Central West,95 Rankin Street,,BATHURST,NSW,2795,Central West,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-33.41292898,149.5790792,"$1,688,458.81 "
Catholic Community Services Great Lakes,"Unit 1, 2 Scott Street",,NEWCASTLE EAST,NSW,2300,Hunter,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-32.92794,151.78906,"$486,605.84 "
Catholic Community Services Homelessness and Housing Support - CACP,663 Elizabeth Street,,WATERLOO,NSW,2017,South East Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.89708761,151.2063159,"$136,698.49 "
Catholic Community Services Hunter,"Unit 1, 2 Scott Street",,NEWCASTLE EAST,NSW,2300,Hunter,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-32.92794,151.78906,"$1,448,589.82 "
Catholic Community Services Metro North - CACP,Level 3,11 Albany Street,ST LEONARDS,NSW,2065,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.82405535,151.1987023,"$4,744,110.36 "
Catholic Community Services Metro North Hornsby,Unit 1,1 Central Avenue,THORNLEIGH,NSW,2120,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.72967978,151.0808915,"$4,079,244.68 "
Catholic Community Services Metro North,Level 3,11 Albany Street,ST LEONARDS,NSW,2065,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.82405535,151.1987023,"$4,212,023.63 "
Catholic Community Services Metro South East - Arabic CACP,Unit 3,20-26 Nancarrow Avenue,MEADOWBANK,NSW,2114,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.818258,151.093,"$2,859,235.36 "
Catholic Community Services Metro South East,Unit 3,20-26 Nancarrow Avenue,MEADOWBANK,NSW,2114,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.818258,151.093,"$2,733,047.63 "
Catholic Community Services Metro South East - CACP,Unit 3,20-26 Nancarrow Avenue,MEADOWBANK,NSW,2114,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.818258,151.093,"$673,261.85 "
Catholic Community Services Inner West,Unit 3,20-26 Nancarrow Avenue,MEADOWBANK,NSW,2114,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.818258,151.093,"$2,624,310.03 "
Catholic Community Services Metro South East,Unit 3,20-26 Nancarrow Avenue,MEADOWBANK,NSW,2114,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.818258,151.093,"$5,016,200.77 "
Catholic Community Services Mid North Coast - CACP,"Shop 4, 1 Duke Street",,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-30.29763887,153.117944,"$667,778.40 "
Catholic Community Services Mid North Coast,"Shop 4, 1 Duke Street",,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-30.29763887,153.117944,"$1,123,805.62 "
Catholic Community Services Nepean - CACP,66 Katoomba Street,,KATOOMBA,NSW,2780,Nepean,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.71367945,150.3122996,"$465,328.50 "
Catholic Community Services Nepean,66 Katoomba Street,,KATOOMBA,NSW,2780,Nepean,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.71367945,150.3122996,"$798,601.76 "
Catholic Community Services Orana Level 2,10 Tony McGrane Place,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.2335264,148.6286046,"$761,963.88 "
Catholic Community Services Orana Level 4,10 Tony McGrane Place,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.2335264,148.6286046,"$784,506.95 "
Catholic Community Services Orana Level 3,10 Tony McGrane Place,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.2335264,148.6286046,"$496,017.05 "
Catholic Community Services Riverina Murray - CACP,180 Morgan Street,46-54 Baylis Street,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.11524198,147.3593759,"$1,110,109.73 "
Catholic Community Services Riverina/Murray,180 Morgan Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.11524198,147.3593759,"$1,855,923.60 "
CatholicCare Community Aged Care Packages (Housing Linked),25-27 Auburn Street,,WOLLONGONG,NSW,2500,Illawarra,Home Care,,,,Catholic Family Welfare Services,Religious,Major Cities of Australia,-34.42898625,150.8894241,"$441,072.43 "
CatholicCare Community Aged Care Packages (NESB),25-27 Auburn Street,,WOLLONGONG,NSW,2500,Illawarra,Home Care,,,,Catholic Family Welfare Services,Religious,Major Cities of Australia,-34.42898625,150.8894241,"$4,963,579.89 "
CatholicCare Sydney,"Level 3, 203 Northumberland Street",45-47 Scott Street,LIVERPOOL,NSW,2170,South West Sydney,Home Care,,,,Trustees of Catholic Aged Care Sydney,Religious,Major Cities of Australia,-33.922946,150.922036,"$2,585,710.30 "
CatholicCare Sydney EACH,"Level 3, 203 Northumberland Street",45-47 Scott Street,LIVERPOOL,NSW,2170,South West Sydney,Home Care,,,,Trustees of Catholic Aged Care Sydney,Religious,Major Cities of Australia,-33.922946,150.922036,"$2,739,722.30 "
CatholicCareSydney EACH Dementia,"Level 3, 203 Northumberland Street",45-47 Scott Street,LIVERPOOL,NSW,2170,South West Sydney,Home Care,,,,Trustees of Catholic Aged Care Sydney,Religious,Major Cities of Australia,-33.922946,150.922036,"$5,147,666.00 "
CAVOD,"Level 3, 332-342 Oxford Street",332-342 Oxford Street,BONDI JUNCTION,NSW,2022,South East Sydney,Home Care,,,,Jewish Care,Community Based,Major Cities of Australia,-33.891173,151.2461499,"$6,982,026.37 "
Central West CACP (Lachlan),80 Currajong Street,,PARKES,NSW,2870,Central West,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,-33.13310977,148.1751609,"$30,873,809.47 "
Anglicare Community Aged Care - Nepean,155 a March Street,,RICHMOND,NSW,2753,Nepean,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.59686577,150.7476387,"$1,065,446.66 "
Anglicare Community Aged Care - South East Sydney,15 Lenna Place,,JANNALI,NSW,2226,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.02108491,151.0654177,"$238,084.11 "
Co.As.It. - Community Care Packages Program,67 Norton Street,55 Norton Street,LEICHHARDT,NSW,2040,Inner West,Home Care,,,,CO.AS.IT. - Italian Association of Assistance,Community Based,Major Cities of Australia,-33.88545933,151.1576919,"$8,880,884.98 "
CO.AS.IT. - EACH,67 Norton Street,,LEICHHARDT,NSW,2040,Inner West,Home Care,,,,CO.AS.IT. - Italian Association of Assistance,Community Based,Major Cities of Australia,-33.88545933,151.1576919,"$1,185,256.46 "
Coast Community Connections,1 Ross Street,,WOY WOY,NSW,2256,Central Coast,Home Care,,,,Peninsula Community Centre Incorporated,Community Based,Major Cities of Australia,-33.50000669,151.32215,"$1,695,413.49 "
Coffs Coast Health,"Unit 4, 88 Industrial Drive",,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,NSW Home Support Services,Private Incorporated Body,Inner Regional Australia,-30.31601375,153.0845123,"$1,835,603.09 "
Coffs Harbour Nursing Service Pty Ltd,4-88 Industrial Drive,,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,NSW Home Support Services,Private Incorporated Body,Inner Regional Australia,-30.31601375,153.0845123,"$1,064,649.96 "
Community Aged Care Packages - Salamander Bay Village,4 Muller Street,,SALAMANDER BAY,NSW,2317,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.73024951,152.0834705,"$100,100.38 "
Anglicare Community Aged Care - Illawarra,29a McGrath Street,,MOUNT OUSLEY,NSW,2519,Illawarra,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.399269,150.889449,"$193,681.31 "
Community Care Northern Beaches Flexible Care - EACH,20 Rodborough Road,10 Park Street,FRENSCHS FOREST,NSW,2086,Northern Sydney,Home Care,,,,Community Care (Northern Beaches) Limited,Community Based,Major Cities of Australia,-33.754754,151.248833,"$52,197.16 "
Community Gateway Limited,17 Auburn Street,,WOLLONGONG,NSW,2500,Illawarra,Home Care,,,,Community Gateway Limited,Community Based,Major Cities of Australia,-34.427647,150.889701,"$2,494,744.98 "
Cooee Lodge Retirement Village Management Committee,Townsend Drive,,GILGANDRA,NSW,2827,Orana Far West,Home Care,,,,Gilgandra Council,Local Government,Outer Regional Australia,-31.703966,148.663309,"$157,408.83 "
Cooinda Community Care,12-14 Neate Street,,COONABARABRAN,NSW,2357,Orana Far West,Home Care,,,,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,-31.27287689,149.2865973,"$819,083.53 "
Cowra Community Care Services,1 HOLMAN Place,,COWRA,NSW,2794,Central West,Home Care,,,,Cowra Retirement Village Ltd,Charitable,Inner Regional Australia,-33.824333,148.694704,"$961,966.65 "
